Sample description: DMPC_25_100
Sample: DMPC_25_100  c= 1 mg/ml  Code: DMPC_25_100_water
Parent(s): analysis/processed/subtracted/DMPC_25_100_water_0363_sub.dat
  5.420170e-01   1.342106e+01   1.578988e+00
  5.447760e-01   1.098195e+01   1.596271e+00
  5.475350e-01   1.378912e+01   1.562420e+00
  5.502950e-01   1.367036e+01   1.590882e+00
  5.530540e-01   1.322363e+01   1.587558e+00
  5.558130e-01   1.330434e+01   1.564438e+00
  5.585720e-01   1.511547e+01   1.598851e+00
  5.613320e-01   1.453775e+01   1.553473e+00
  5.640910e-01   1.660676e+01   1.581349e+00
  5.668500e-01   1.609878e+01   1.568823e+00
  5.696100e-01   1.324423e+01   1.540842e+00
  5.723690e-01   1.691780e+01   1.583132e+00
  5.751280e-01   1.867124e+01   1.551671e+00
  5.778870e-01   1.722425e+01   1.561004e+00
  5.806470e-01   1.593602e+01   1.551673e+00
  5.834060e-01   1.660800e+01   1.555835e+00
  5.861650e-01   1.773578e+01   1.581162e+00
  5.889240e-01   1.822348e+01   1.548045e+00
  5.916840e-01   1.972375e+01   1.561561e+00
  5.944430e-01   1.998503e+01   1.543883e+00
  5.972020e-01   1.882460e+01   1.553709e+00
  5.999620e-01   2.217794e+01   1.556747e+00
  6.027210e-01   1.816321e+01   1.549073e+00
  6.054800e-01   2.197934e+01   1.556259e+00
  6.082390e-01   2.036315e+01   1.549307e+00
  6.109990e-01   2.267869e+01   1.558669e+00
  6.137580e-01   2.223105e+01   1.539262e+00
  6.165170e-01   2.225429e+01   1.545514e+00
  6.192760e-01   2.446587e+01   1.554203e+00
  6.220360e-01   2.577330e+01   1.553974e+00
  6.247950e-01   2.530860e+01   1.553501e+00
  6.275540e-01   2.745220e+01   1.543307e+00
  6.303140e-01   2.547152e+01   1.551001e+00
  6.330730e-01   2.583442e+01   1.548897e+00
  6.358320e-01   2.741475e+01   1.540069e+00
  6.385910e-01   2.502941e+01   1.540872e+00
  6.413510e-01   2.939822e+01   1.530193e+00
  6.441100e-01   2.717422e+01   1.549047e+00
  6.468690e-01   2.979665e+01   1.541053e+00
  6.496280e-01   2.715885e+01   1.534650e+00
  6.523880e-01   3.121885e+01   1.558327e+00
  6.551470e-01   2.978445e+01   1.537152e+00
  6.579060e-01   3.255337e+01   1.552798e+00
  6.606660e-01   3.189710e+01   1.535248e+00
  6.634250e-01   3.048728e+01   1.536600e+00
  6.661840e-01   3.356183e+01   1.567009e+00
  6.689430e-01   3.249767e+01   1.537000e+00
  6.717030e-01   3.329688e+01   1.536742e+00
  6.744620e-01   3.195500e+01   1.531497e+00
  6.772210e-01   3.325755e+01   1.540372e+00
  6.799800e-01   3.302893e+01   1.535088e+00
  6.827400e-01   3.341582e+01   1.514603e+00
  6.854990e-01   3.740625e+01   1.562739e+00
  6.882580e-01   3.583116e+01   1.516912e+00
  6.910180e-01   3.577908e+01   1.547435e+00
  6.937770e-01   3.623049e+01   1.537848e+00
  6.965360e-01   3.941741e+01   1.544708e+00
  6.992950e-01   3.820960e+01   1.543439e+00
  7.020550e-01   3.912477e+01   1.517108e+00
  7.048140e-01   4.046349e+01   1.546683e+00
  7.075730e-01   4.081148e+01   1.527548e+00
  7.103320e-01   4.118852e+01   1.543175e+00
  7.130920e-01   4.171007e+01   1.542675e+00
  7.158510e-01   4.067778e+01   1.535624e+00
  7.186100e-01   4.400688e+01   1.547349e+00
  7.213700e-01   4.467519e+01   1.526806e+00
  7.241290e-01   3.994647e+01   1.529239e+00
  7.268880e-01   4.342991e+01   1.531401e+00
  7.296470e-01   4.498037e+01   1.537511e+00
  7.324070e-01   4.560378e+01   1.539881e+00
  7.351660e-01   4.426039e+01   1.531337e+00
  7.379250e-01   4.753932e+01   1.552491e+00
  7.406840e-01   4.446845e+01   1.520660e+00
  7.434440e-01   4.439648e+01   1.530411e+00
  7.462030e-01   4.586437e+01   1.525421e+00
  7.489620e-01   5.024172e+01   1.527827e+00
  7.517220e-01   4.901865e+01   1.547101e+00
  7.544810e-01   5.115146e+01   1.540228e+00
  7.572400e-01   5.068039e+01   1.544476e+00
  7.599990e-01   5.301705e+01   1.529096e+00
  7.627590e-01   5.016347e+01   1.541499e+00
  7.655180e-01   5.090329e+01   1.542758e+00
  7.682770e-01   5.237474e+01   1.532931e+00
  7.710370e-01   5.174669e+01   1.529319e+00
  7.737960e-01   5.421066e+01   1.522974e+00
  7.765550e-01   5.399350e+01   1.534832e+00
  7.793140e-01   5.550217e+01   1.544783e+00
  7.820740e-01   5.484249e+01   1.515594e+00
  7.848330e-01   5.644918e+01   1.548103e+00
  7.875920e-01   5.400418e+01   1.517356e+00
  7.903510e-01   5.773193e+01   1.545157e+00
  7.931110e-01   5.562692e+01   1.529692e+00
  7.958700e-01   5.775945e+01   1.542887e+00
  7.986290e-01   5.850683e+01   1.583604e+00
  8.013890e-01   5.744801e+01   1.577905e+00
  8.041480e-01   6.060049e+01   1.601471e+00
  8.069070e-01   5.830382e+01   1.607855e+00
  8.096660e-01   6.300998e+01   1.621663e+00
  8.124260e-01   6.479554e+01   1.631094e+00
  8.151850e-01   5.875418e+01   1.609362e+00
  8.179440e-01   6.311196e+01   1.663253e+00
  8.207030e-01   6.347131e+01   1.649154e+00
  8.234630e-01   6.353934e+01   1.667370e+00
  8.262220e-01   6.337241e+01   1.656866e+00
  8.289810e-01   6.672176e+01   1.664579e+00
  8.317410e-01   6.602721e+01   1.692785e+00
  8.345000e-01   6.830843e+01   1.677746e+00
  8.372590e-01   6.680433e+01   1.699226e+00
  8.400180e-01   6.586354e+01   1.679333e+00
  8.427780e-01   6.833644e+01   1.685760e+00
  8.455370e-01   6.746705e+01   1.674519e+00
  8.482960e-01   6.708439e+01   1.626001e+00
  8.510550e-01   7.301761e+01   1.657162e+00
  8.538150e-01   6.930612e+01   1.620185e+00
  8.565740e-01   7.108653e+01   1.636437e+00
  8.593330e-01   7.164973e+01   1.633119e+00
  8.620930e-01   7.098434e+01   1.600217e+00
  8.648520e-01   7.260257e+01   1.626175e+00
  8.676110e-01   7.260645e+01   1.609306e+00
  8.703700e-01   7.324090e+01   1.602068e+00
  8.731300e-01   7.440486e+01   1.604373e+00
  8.758890e-01   7.408466e+01   1.600488e+00
  8.786480e-01   7.689338e+01   1.627363e+00
  8.814070e-01   7.601492e+01   1.586527e+00
  8.841670e-01   7.667565e+01   1.603631e+00
  8.869260e-01   7.844386e+01   1.588356e+00
  8.896850e-01   8.026202e+01   1.601748e+00
  8.924450e-01   7.877593e+01   1.609742e+00
  8.952040e-01   7.757074e+01   1.581469e+00
  8.979630e-01   8.039807e+01   1.608356e+00
  9.007220e-01   7.891110e+01   1.589553e+00
  9.034820e-01   8.293863e+01   1.634421e+00
  9.062410e-01   7.938762e+01   1.628291e+00
  9.090000e-01   8.335877e+01   1.661036e+00
  9.117590e-01   8.248177e+01   1.680223e+00
  9.145190e-01   8.281715e+01   1.667994e+00
  9.172780e-01   8.181033e+01   1.684274e+00
  9.200370e-01   7.998135e+01   1.676769e+00
  9.227970e-01   8.245369e+01   1.672725e+00
  9.255560e-01   8.352629e+01   1.656682e+00
  9.283150e-01   8.670107e+01   1.615815e+00
  9.310740e-01   8.442038e+01   1.623128e+00
  9.338340e-01   8.254901e+01   1.606370e+00
  9.365930e-01   8.788575e+01   1.615369e+00
  9.393520e-01   8.673525e+01   1.604150e+00
  9.421110e-01   8.667949e+01   1.582732e+00
  9.448710e-01   8.327783e+01   1.589777e+00
  9.476300e-01   8.563502e+01   1.588737e+00
  9.503890e-01   8.753808e+01   1.599827e+00
  9.531490e-01   8.657761e+01   1.593974e+00
  9.559080e-01   8.712211e+01   1.587412e+00
  9.586670e-01   8.795909e+01   1.611326e+00
  9.614260e-01   8.661734e+01   1.584448e+00
  9.641860e-01   9.124908e+01   1.600158e+00
  9.669450e-01   9.045428e+01   1.583810e+00
  9.697040e-01   9.073442e+01   1.590508e+00
  9.724630e-01   9.133915e+01   1.600458e+00
  9.752230e-01   9.180602e+01   1.563119e+00
  9.779820e-01   9.263042e+01   1.578901e+00
  9.807410e-01   9.431025e+01   1.578264e+00
  9.835010e-01   9.253759e+01   1.577561e+00
  9.862600e-01   9.418971e+01   1.571122e+00
  9.890190e-01   9.343461e+01   1.586715e+00
  9.917780e-01   9.177708e+01   1.572336e+00
  9.945380e-01   9.620999e+01   1.566553e+00
  9.972970e-01   9.716724e+01   1.581114e+00
  1.000060e+00   9.340748e+01   1.554488e+00
  1.002820e+00   9.380338e+01   1.557294e+00
  1.005570e+00   9.301814e+01   1.574300e+00
  1.008330e+00   9.614526e+01   1.559263e+00
  1.011090e+00   9.724338e+01   1.573022e+00
  1.013850e+00   9.406609e+01   1.536182e+00
  1.016610e+00   9.544775e+01   1.557885e+00
  1.019370e+00   9.469617e+01   1.552074e+00
  1.022130e+00   9.646576e+01   1.561627e+00
  1.024890e+00   1.007086e+02   1.572080e+00
  1.027650e+00   9.720854e+01   1.547906e+00
  1.030410e+00   9.746084e+01   1.573994e+00
  1.033170e+00   9.863724e+01   1.539521e+00
  1.035930e+00   9.848238e+01   1.557298e+00
  1.038690e+00   9.829440e+01   1.548681e+00
  1.041450e+00   9.741305e+01   1.541196e+00
  1.044200e+00   9.809296e+01   1.552105e+00
  1.046960e+00   1.010247e+02   1.537407e+00
  1.049720e+00   1.019274e+02   1.552759e+00
  1.052480e+00   9.810966e+01   1.550493e+00
